Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,1,0,0.0,1561.0
1,1,1,0.0,1561.0
1,1,2,0.0,1561.0
1,1,3,0.0,1561.0
1,1,4,0.0,1561.0
1,1,5,0.0,1561.0
1,1,6,0.0,1561.0
1,1,7,0.0,1561.0
1,1,8,8.823784999999999,1561.0
1,1,9,64.196729,1561.0
1,1,10,58.599389,1561.0
1,1,11,128.28446499999998,1561.0
1,1,12,90.05722999999999,1561.0
1,1,13,134.82946900000002,1561.0
1,1,14,118.58779700000001,1561.0
1,1,15,89.06422599999999,1561.0
1,1,16,15.156036,1561.0
1,1,17,-0.0,1561.0
1,1,18,0.0,1561.0
1,1,19,0.0,1561.0
1,1,20,0.0,1561.0
1,1,21,0.0,1561.0
1,1,22,0.0,1561.0
1,1,23,0.0,1561.0
1,2,0,0.0,1561.0
1,2,1,0.0,1561.0
1,2,2,0.0,1561.0
1,2,3,0.0,1561.0
1,2,4,0.0,1561.0
1,2,5,0.0,1561.0
1,2,6,0.0,1561.0
1,2,7,0.0,1561.0
1,2,8,0.447146,1561.0
1,2,9,0.583118,1561.0
1,2,10,37.425324999999994,1561.0
1,2,11,60.298096,1561.0
1,2,12,4.266558,1561.0
1,2,13,17.227869,1561.0
1,2,14,74.832024,1561.0
1,2,15,30.424832,1561.0
1,2,16,11.501691000000001,1561.0
1,2,17,-0.0,1561.0
1,2,18,0.0,1561.0
1,2,19,0.0,1561.0
1,2,20,0.0,1561.0
1,2,21,0.0,1561.0
1,2,22,0.0,1561.0
1,2,23,0.0,1561.0
1,3,0,0.0,1561.0
1,3,1,0.0,1561.0
1,3,2,0.0,1561.0
1,3,3,0.0,1561.0
1,3,4,0.0,1561.0
1,3,5,0.0,1561.0
1,3,6,0.0,1561.0
1,3,7,0.0,1561.0
1,3,8,0.02859,1561.0
1,3,9,-0.0,1561.0
1,3,10,13.763912,1561.0
1,3,11,12.606708000000001,1561.0
1,3,12,24.535884,1561.0
1,3,13,20.843633,1561.0
1,3,14,38.724714,1561.0
1,3,15,43.391134,1561.0
1,3,16,4.355756,1561.0
1,3,17,-0.0,1561.0
1,3,18,0.0,1561.0
1,3,19,0.0,1561.0
1,3,20,0.0,1561.0
1,3,21,0.0,1561.0
1,3,22,0.0,1561.0
1,3,23,0.0,1561.0
1,4,0,0.0,1561.0
1,4,1,0.0,1561.0
1,4,2,0.0,1561.0
1,4,3,0.0,1561.0
1,4,4,0.0,1561.0
1,4,5,0.0,1561.0
1,4,6,0.0,1561.0
1,4,7,0.0,1561.0
1,4,8,2.7243380000000004,1561.0
1,4,9,2.935654,1561.0
1,4,10,14.593157999999999,1561.0
1,4,11,20.671518,1561.0
1,4,12,17.381422999999998,1561.0
1,4,13,22.979783,1561.0
1,4,14,20.762233000000002,1561.0
1,4,15,8.826321,1561.0
1,4,16,7.0138549999999995,1561.0
1,4,17,-0.0,1561.0
1,4,18,0.0,1561.0
1,4,19,0.0,1561.0
1,4,20,0.0,1561.0
1,4,21,0.0,1561.0
1,4,22,0.0,1561.0
1,4,23,0.0,1561.0
1,5,0,0.0,1561.0
1,5,1,0.0,1561.0
1,5,2,0.0,1561.0
1,5,3,0.0,1561.0
1,5,4,0.0,1561.0
1,5,5,0.0,1561.0
1,5,6,0.0,1561.0
1,5,7,0.0,1561.0
1,5,8,-0.0,1561.0
1,5,9,6.8253900000000005,1561.0
1,5,10,14.235631,1561.0
1,5,11,22.156136,1561.0
1,5,12,27.326302,1561.0
1,5,13,25.240541,1561.0
1,5,14,32.133473,1561.0
1,5,15,10.328893,1561.0
1,5,16,5.3988320000000005,1561.0
1,5,17,-0.0,1561.0
1,5,18,0.0,1561.0
1,5,19,0.0,1561.0
1,5,20,0.0,1561.0
1,5,21,0.0,1561.0
1,5,22,0.0,1561.0
1,5,23,0.0,1561.0
1,6,0,0.0,1561.0
1,6,1,0.0,1561.0
1,6,2,0.0,1561.0
1,6,3,0.0,1561.0
1,6,4,0.0,1561.0
1,6,5,0.0,1561.0
1,6,6,0.0,1561.0
1,6,7,0.0,1561.0
1,6,8,7.748485,1561.0
1,6,9,62.435204,1561.0
1,6,10,104.850438,1561.0
1,6,11,88.180197,1561.0
1,6,12,143.064076,1561.0
1,6,13,140.405317,1561.0
1,6,14,124.102443,1561.0
1,6,15,87.82724400000001,1561.0
1,6,16,36.326678,1561.0
1,6,17,-0.0,1561.0
1,6,18,0.0,1561.0
1,6,19,0.0,1561.0
1,6,20,0.0,1561.0
1,6,21,0.0,1561.0
1,6,22,0.0,1561.0
1,6,23,0.0,1561.0
1,7,0,0.0,1561.0
1,7,1,0.0,1561.0
1,7,2,0.0,1561.0
1,7,3,0.0,1561.0
1,7,4,0.0,1561.0
1,7,5,0.0,1561.0
1,7,6,0.0,1561.0
1,7,7,0.0,1561.0
1,7,8,8.849742,1561.0
1,7,9,67.203308,1561.0
1,7,10,57.47907,1561.0
1,7,11,97.877299,1561.0
1,7,12,149.844148,1561.0
1,7,13,147.857978,1561.0
1,7,14,132.159098,1561.0
1,7,15,102.443409,1561.0
1,7,16,55.651578,1561.0
1,7,17,-0.0,1561.0
1,7,18,0.0,1561.0
1,7,19,0.0,1561.0
1,7,20,0.0,1561.0
1,7,21,0.0,1561.0
1,7,22,0.0,1561.0
1,7,23,0.0,1561.0
1,8,0,0.0,1561.0
1,8,1,0.0,1561.0
1,8,2,0.0,1561.0
1,8,3,0.0,1561.0
1,8,4,0.0,1561.0
1,8,5,0.0,1561.0
1,8,6,0.0,1561.0
1,8,7,0.0,1561.0
1,8,8,9.016128,1561.0
1,8,9,44.710785,1561.0
1,8,10,76.05577000000001,1561.0
1,8,11,99.989739,1561.0
1,8,12,86.055126,1561.0
1,8,13,59.772939,1561.0
1,8,14,39.50630399999999,1561.0
1,8,15,14.537929,1561.0
1,8,16,2.700559,1561.0
1,8,17,-0.0,1561.0
1,8,18,0.0,1561.0
1,8,19,0.0,1561.0
1,8,20,0.0,1561.0
1,8,21,0.0,1561.0
1,8,22,0.0,1561.0
1,8,23,0.0,1561.0
1,9,0,0.0,1561.0
1,9,1,0.0,1561.0
1,9,2,0.0,1561.0
1,9,3,0.0,1561.0
1,9,4,0.0,1561.0
1,9,5,0.0,1561.0
1,9,6,0.0,1561.0
1,9,7,0.0,1561.0
1,9,8,-0.0,1561.0
1,9,9,-0.0,1561.0
1,9,10,11.358906000000001,1561.0
1,9,11,22.699038,1561.0
