Month,Day,Hour,PV-1 Solar Power
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,3.313872
1,1,8,53.937977
1,1,9,96.257893
1,1,10,125.034221
1,1,11,142.91520699999998
1,1,12,148.357307
1,1,13,140.380389
1,1,14,122.648741
1,1,15,92.824832
1,1,16,50.843388
1,1,17,4.210471999999999
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,2,7,1.463146
1,2,8,0.17872300000000002
1,2,9,38.433912
1,2,10,115.225499
1,2,11,133.793714
1,2,12,139.990543
1,2,13,134.303674
1,2,14,116.31137
1,2,15,86.6641
1,2,16,46.950946
1,2,17,3.508167
1,2,18,0.0
1,2,19,0.0
1,2,20,0.0
1,2,21,0.0
1,2,22,0.0
1,2,23,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,3,7,0.750797
1,3,8,47.407302
1,3,9,92.26708500000001
1,3,10,120.955
1,3,11,140.239564
1,3,12,146.677157
1,3,13,143.293583
1,3,14,126.05616599999999
1,3,15,54.809776
1,3,16,54.68291000000001
1,3,17,3.179924
1,3,18,0.0
1,3,19,0.0
1,3,20,0.0
1,3,21,0.0
1,3,22,0.0
1,3,23,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
1,4,5,0.0
1,4,6,0.0
1,4,7,-0.0
1,4,8,38.137654000000005
1,4,9,81.353292
1,4,10,124.67633000000001
1,4,11,142.546199
1,4,12,147.64585200000002
1,4,13,140.60238800000002
1,4,14,121.37191499999999
1,4,15,90.999426
1,4,16,47.570909
1,4,17,3.555805
1,4,18,0.0
1,4,19,0.0
1,4,20,0.0
1,4,21,0.0
1,4,22,0.0
1,4,23,0.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,5,7,0.583471
1,5,8,46.080438
1,5,9,19.926687
1,5,10,120.447193
1,5,11,138.718649
1,5,12,145.477328
1,5,13,139.965852
1,5,14,122.43906299999999
1,5,15,93.467311
1,5,16,51.463571
1,5,17,4.609616
1,5,18,0.0
1,5,19,0.0
1,5,20,0.0
1,5,21,0.0
1,5,22,0.0
1,5,23,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
1,6,3,0.0
1,6,4,0.0
1,6,5,0.0
1,6,6,0.0
1,6,7,1.541299
1,6,8,50.905084
1,6,9,94.185864
1,6,10,125.341145
1,6,11,142.733713
1,6,12,147.691756
1,6,13,142.93062400000002
1,6,14,124.092828
1,6,15,92.634158
1,6,16,51.527422
1,6,17,4.3409510000000004
1,6,18,0.0
1,6,19,0.0
1,6,20,0.0
1,6,21,0.0
1,6,22,0.0
1,6,23,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
1,7,3,0.0
1,7,4,0.0
1,7,5,0.0
1,7,6,0.0
1,7,7,-0.0
1,7,8,29.109365
1,7,9,70.379546
1,7,10,109.261579
1,7,11,70.910549
1,7,12,95.344796
1,7,13,127.117079
1,7,14,61.51589499999999
1,7,15,47.157732
1,7,16,45.11909
1,7,17,3.5384189999999998
1,7,18,0.0
1,7,19,0.0
1,7,20,0.0
1,7,21,0.0
1,7,22,0.0
1,7,23,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,8,3,0.0
1,8,4,0.0
1,8,5,0.0
1,8,6,0.0
1,8,7,-0.0
1,8,8,31.099206
1,8,9,72.36335000000001
1,8,10,101.787832
1,8,11,89.51764
1,8,12,94.95380899999999
1,8,13,122.66652400000001
1,8,14,104.195778
1,8,15,76.800205
1,8,16,41.429278
1,8,17,3.335921
1,8,18,0.0
1,8,19,0.0
1,8,20,0.0
1,8,21,0.0
1,8,22,0.0
1,8,23,0.0
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
1,9,3,0.0
1,9,4,0.0
1,9,5,0.0
1,9,6,0.0
1,9,7,-0.0
1,9,8,29.685541
1,9,9,70.169533
1,9,10,105.059004
1,9,11,123.946574
1,9,12,131.788772
1,9,13,122.726249
1,9,14,105.671829
1,9,15,79.03735400000001
1,9,16,42.845873
1,9,17,4.073638
1,9,18,0.0
1,9,19,0.0
1,9,20,0.0
1,9,21,0.0
1,9,22,0.0
1,9,23,0.0
1,10,0,0.0
1,10,1,0.0
1,10,2,0.0
1,10,3,0.0
1,10,4,0.0
1,10,5,0.0
1,10,6,0.0
1,10,7,0.052507
1,10,8,41.999691
1,10,9,84.89120799999999
1,10,10,115.01867200000001
1,10,11,131.484835
1,10,12,134.832592
1,10,13,131.82472700000002
1,10,14,116.22597599999999
1,10,15,89.19228299999999
1,10,16,49.793330999999995
1,10,17,6.167732
1,10,18,0.0
1,10,19,0.0
1,10,20,0.0
1,10,21,0.0
1,10,22,0.0
1,10,23,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,11,7,-0.0
1,11,8,23.667718
1,11,9,63.283636
1,11,10,96.141424
1,11,11,117.60187699999999
1,11,12,128.611246
1,11,13,128.48953699999998
1,11,14,112.276389
1,11,15,84.68305199999999
1,11,16,48.226881999999996
1,11,17,6.358692
1,11,18,0.0
1,11,19,0.0
1,11,20,0.0
1,11,21,0.0
1,11,22,0.0
1,11,23,0.0
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,0.0
1,12,7,0.503063
1,12,8,48.469834000000006
1,12,9,95.21728599999999
1,12,10,126.754166
1,12,11,146.566001
1,12,12,153.163037
1,12,13,149.159738
1,12,14,130.55530199999998
1,12,15,99.8937
1,12,16,55.862318
1,12,17,7.4342939999999995
1,12,18,0.0
1,12,19,0.0
1,12,20,0.0
1,12,21,0.0
1,12,22,0.0
1,12,23,0.0
1,13,0,0.0
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,13,4,0.0
1,13,5,0.0
1,13,6,0.0
1,13,7,0.177165
1,13,8,45.344736
1,13,9,91.10152099999999
1,13,10,120.431068
1,13,11,140.277076
1,13,12,147.93180999999998
1,13,13,141.735471
1,13,14,125.267715
1,13,15,96.546461
1,13,16,53.68746
1,13,17,7.120907
1,13,18,0.0
1,13,19,0.0
1,13,20,0.0
1,13,21,0.0
1,13,22,0.0
1,13,23,0.0
1,14,0,0.0
1,14,1,0.0
1,14,2,0.0
1,14,3,0.0
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,14,7,0.405428
1,14,8,47.164264
1,14,9,93.30596899999999
1,14,10,127.923924
1,14,11,147.22142000000002
1,14,12,154.946659
1,14,13,151.51244
1,14,14,134.170417
1,14,15,105.063281
1,14,16,61.656884
1,14,17,8.881651
1,14,18,0.0
1,14,19,0.0
1,14,20,0.0
1,14,21,0.0
1,14,22,0.0
1,14,23,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,15,3,0.0
1,15,4,0.0
1,15,5,0.0
1,15,6,0.0
1,15,7,0.7041860000000001
1,15,8,47.757362
1,15,9,92.408188
1,15,10,123.09375
1,15,11,142.015093
1,15,12,150.287708
1,15,13,144.896821
1,15,14,128.673975
1,15,15,100.021908
1,15,16,56.882226
1,15,17,8.409132
1,15,18,0.0
1,15,19,0.0
1,15,20,0.0
1,15,21,0.0
1,15,22,0.0
1,15,23,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,16,4,0.0
1,16,5,0.0
1,16,6,0.0
1,16,7,0.230034
1,16,8,47.717135999999996
1,16,9,91.76849800000001
1,16,10,120.430614
1,16,11,140.918836
1,16,12,150.385206
1,16,13,145.63790799999998
1,16,14,128.998117
1,16,15,100.213845
1,16,16,58.329581
1,16,17,8.957361
1,16,18,0.0
1,16,19,0.0
1,16,20,0.0
1,16,21,0.0
1,16,22,0.0
1,16,23,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,17,4,0.0
1,17,5,0.0
1,17,6,0.0
1,17,7,0.6433300000000001
1,17,8,47.614252
1,17,9,92.70856500000001
1,17,10,120.802605
1,17,11,140.866939
1,17,12,147.354861
1,17,13,141.838887
1,17,14,98.992689
1,17,15,70.683122
1,17,16,57.783679
1,17,17,9.589769
1,17,18,0.0
1,17,19,0.0
1,17,20,0.0
1,17,21,0.0
1,17,22,0.0
1,17,23,0.0
1,18,0,0.0
1,18,1,0.0
1,18,2,0.0
1,18,3,0.0
1,18,4,0.0
1,18,5,0.0
1,18,6,0.0
1,18,7,-0.0
1,18,8,3.0438270000000003
1,18,9,58.061161
1,18,10,111.24623799999999
1,18,11,97.65469999999999
1,18,12,25.956751
1,18,13,116.196328
1,18,14,49.227041
1,18,15,59.092558
1,18,16,0.736236
1,18,17,5.33217
1,18,18,0.0
1,18,19,0.0
1,18,20,0.0
1,18,21,0.0
1,18,22,0.0
1,18,23,0.0
1,19,0,0.0
1,19,1,0.0
1,19,2,0.0
1,19,3,0.0
1,19,4,0.0
1,19,5,0.0
1,19,6,0.0
1,19,7,-0.0
1,19,8,-0.0
1,19,9,50.818161999999994
1,19,10,107.164873
1,19,11,103.338836
1,19,12,118.248272
1,19,13,79.138706
1,19,14,16.851619
1,19,15,22.192401999999998
1,19,16,3.271495
1,19,17,2.825199
1,19,18,0.0
1,19,19,0.0
1,19,20,0.0
1,19,21,0.0
1,19,22,0.0
1,19,23,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,0.0
1,20,7,-0.0
1,20,8,-0.0
1,20,9,2.863873
1,20,10,82.982152
1,20,11,45.39128
1,20,12,82.53511900000001
1,20,13,72.461004
1,20,14,29.64158
1,20,15,17.914476999999998
1,20,16,0.030390999999999998
1,20,17,-0.0
1,20,18,0.0
1,20,19,0.0
1,20,20,0.0
1,20,21,0.0
1,20,22,0.0
1,20,23,0.0
