Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,1,0,0.0,1516.0
1,1,1,0.0,1516.0
1,1,2,0.0,1516.0
1,1,3,0.0,1516.0
1,1,4,0.0,1516.0
1,1,5,0.0,1516.0
1,1,6,0.0,1516.0
1,1,7,0.0,1516.0
1,1,8,6.213933,1516.0
1,1,9,45.208964,1516.0
1,1,10,41.267175,1516.0
1,1,11,90.341173,1516.0
1,1,12,63.420584000000005,1516.0
1,1,13,94.95033000000001,1516.0
1,1,14,83.51253299999999,1516.0
1,1,15,62.721286,1516.0
1,1,16,10.673264999999999,1516.0
1,1,17,-0.0,1516.0
1,1,18,0.0,1516.0
1,1,19,0.0,1516.0
1,1,20,0.0,1516.0
1,1,21,0.0,1516.0
1,1,22,0.0,1516.0
1,1,23,0.0,1516.0
1,2,0,0.0,1516.0
1,2,1,0.0,1516.0
1,2,2,0.0,1516.0
1,2,3,0.0,1516.0
1,2,4,0.0,1516.0
1,2,5,0.0,1516.0
1,2,6,0.0,1516.0
1,2,7,0.0,1516.0
1,2,8,0.314892,1516.0
1,2,9,0.410646,1516.0
1,2,10,26.355863000000003,1516.0
1,2,11,42.463448,1516.0
1,2,12,3.004618,1516.0
1,2,13,12.132302,1516.0
1,2,14,52.698609,1516.0
1,2,15,21.425938,1516.0
1,2,16,8.099783,1516.0
1,2,17,-0.0,1516.0
1,2,18,0.0,1516.0
1,2,19,0.0,1516.0
1,2,20,0.0,1516.0
1,2,21,0.0,1516.0
1,2,22,0.0,1516.0
1,2,23,0.0,1516.0
1,3,0,0.0,1516.0
1,3,1,0.0,1516.0
1,3,2,0.0,1516.0
1,3,3,0.0,1516.0
1,3,4,0.0,1516.0
1,3,5,0.0,1516.0
1,3,6,0.0,1516.0
1,3,7,0.0,1516.0
1,3,8,0.020132999999999998,1516.0
1,3,9,-0.0,1516.0
1,3,10,9.692896000000001,1516.0
1,3,11,8.877963,1516.0
1,3,12,17.278792000000003,1516.0
1,3,13,14.678615,1516.0
1,3,14,27.270925,1516.0
1,3,15,30.557136999999997,1516.0
1,3,16,3.067434,1516.0
1,3,17,-0.0,1516.0
1,3,18,0.0,1516.0
1,3,19,0.0,1516.0
1,3,20,0.0,1516.0
1,3,21,0.0,1516.0
1,3,22,0.0,1516.0
1,3,23,0.0,1516.0
1,4,0,0.0,1516.0
1,4,1,0.0,1516.0
1,4,2,0.0,1516.0
1,4,3,0.0,1516.0
1,4,4,0.0,1516.0
1,4,5,0.0,1516.0
1,4,6,0.0,1516.0
1,4,7,0.0,1516.0
1,4,8,1.918548,1516.0
1,4,9,2.067362,1516.0
1,4,10,10.276872,1516.0
1,4,11,14.557407,1516.0
1,4,12,12.240439,1516.0
1,4,13,16.182945,1516.0
1,4,14,14.621291,1516.0
1,4,15,6.215719,1516.0
1,4,16,4.939334,1516.0
1,4,17,-0.0,1516.0
1,4,18,0.0,1516.0
1,4,19,0.0,1516.0
1,4,20,0.0,1516.0
1,4,21,0.0,1516.0
1,4,22,0.0,1516.0
1,4,23,0.0,1516.0
1,5,0,0.0,1516.0
1,5,1,0.0,1516.0
1,5,2,0.0,1516.0
1,5,3,0.0,1516.0
