Year,Month,Day,Hour,Minute,Wind Speed at 100m (m/s),wind_speed,power_output
2024,1,1,0,0,6.930138,6.930138,1500.0
2024,1,1,1,0,6.9661236,6.9661236,1500.0
2024,1,1,2,0,7.575101,7.575101,1500.0
2024,1,1,3,0,8.040117,8.040117,1500.0
2024,1,1,4,0,8.900461,8.900461,1500.0
2024,1,1,5,0,9.144101,9.144101,1500.0
2024,1,1,6,0,9.644793,9.644793,1500.0
2024,1,1,7,0,9.400276,9.400276,1500.0
2024,1,1,8,0,8.877607,8.877607,1500.0
2024,1,1,9,0,7.87516,7.87516,1500.0
2024,1,1,10,0,6.934647,6.934647,1500.0
2024,1,1,11,0,6.2828074,6.2828074,1500.0
2024,1,1,12,0,5.8571634,5.8571634,1500.0
2024,1,1,13,0,5.4927616,5.4927616,1500.0
2024,1,1,14,0,5.920849,5.920849,1500.0
2024,1,1,15,0,6.352889,6.352889,1500.0
2024,1,1,16,0,6.1892533,6.1892533,1500.0
2024,1,1,17,0,5.535272,5.535272,1500.0
2024,1,1,18,0,5.343748,5.343748,1500.0
2024,1,1,19,0,5.371942,5.371942,1500.0
2024,1,1,20,0,5.561559,5.561559,1500.0
2024,1,1,21,0,5.149148,5.149148,1500.0
2024,1,1,22,0,4.6595106,4.6595106,1500.0
2024,1,1,23,0,4.292946,4.292946,1500.0
2024,1,2,0,0,5.3893685,5.3893685,1500.0
2024,1,2,1,0,5.6146917,5.6146917,1500.0
2024,1,2,2,0,5.136994,5.136994,1500.0
2024,1,2,3,0,5.2044897,5.2044897,1500.0
2024,1,2,4,0,5.2094913,5.2094913,1500.0
2024,1,2,5,0,4.9374123,4.9374123,1500.0
2024,1,2,6,0,5.3980594,5.3980594,1500.0
2024,1,2,7,0,6.0038457,6.0038457,1500.0
2024,1,2,8,0,6.296059,6.296059,1500.0
2024,1,2,9,0,6.031545,6.031545,1500.0
2024,1,2,10,0,5.889092,5.889092,1500.0
2024,1,2,11,0,6.3553486,6.3553486,1500.0
2024,1,2,12,0,6.2295203,6.2295203,1500.0
2024,1,2,13,0,6.0625553,6.0625553,1500.0
2024,1,2,14,0,6.7125034,6.7125034,1500.0
2024,1,2,15,0,7.7012644,7.7012644,1500.0
2024,1,2,16,0,8.237878,8.237878,1500.0
2024,1,2,17,0,8.308396,8.308396,1500.0
2024,1,2,18,0,8.799814,8.799814,1500.0
2024,1,2,19,0,9.515932,9.515932,1500.0
2024,1,2,20,0,9.457179,9.457179,1500.0
2024,1,2,21,0,8.49624,8.49624,1500.0
2024,1,2,22,0,8.912743,8.912743,1500.0
2024,1,2,23,0,8.444583,8.444583,1500.0
2024,1,3,0,0,8.591351,8.591351,1500.0
2024,1,3,1,0,8.307769,8.307769,1500.0
2024,1,3,2,0,8.094998,8.094998,1500.0
2024,1,3,3,0,8.307769,8.307769,1500.0
2024,1,3,4,0,8.259349,8.259349,1500.0
2024,1,3,5,0,7.941029,7.941029,1500.0
2024,1,3,6,0,7.7900352,7.7900352,1500.0
2024,1,3,7,0,7.1301947,7.1301947,1500.0
2024,1,3,8,0,6.681391,6.681391,1500.0
2024,1,3,9,0,6.2620463,6.2620463,1500.0
2024,1,3,10,0,5.8616085,5.8616085,1500.0
2024,1,3,11,0,4.9511085,4.9511085,1500.0
2024,1,3,12,0,4.302642,4.302642,1500.0
2024,1,3,13,0,3.9859,3.9859,1500.0
2024,1,3,14,0,3.5195115,3.5195115,1500.0
2024,1,3,15,0,3.664527,3.664527,1500.0
2024,1,3,16,0,4.492171,4.492171,1500.0
2024,1,3,17,0,4.985706,4.985706,1500.0
2024,1,3,18,0,6.1715546,6.1715546,1500.0
2024,1,3,19,0,6.0254965,6.0254965,1500.0
2024,1,3,20,0,5.1984806,5.1984806,1500.0
2024,1,3,21,0,4.621345,4.621345,1500.0
2024,1,3,22,0,4.2588353,4.2588353,1500.0
2024,1,3,23,0,4.351995,4.351995,1500.0
2024,1,4,0,0,5.5774584,5.5774584,1500.0
2024,1,4,1,0,6.039313,6.039313,1500.0
2024,1,4,2,0,5.3564053,5.3564053,1500.0
2024,1,4,3,0,4.984661,4.984661,1500.0
2024,1,4,4,0,5.5531235,5.5531235,1500.0
2024,1,4,5,0,5.8384576,5.8384576,1500.0
2024,1,4,6,0,5.7738624,5.7738624,1500.0
2024,1,4,7,0,5.710362,5.710362,1500.0
2024,1,4,8,0,6.1045117,6.1045117,1500.0
2024,1,4,9,0,5.6884265,5.6884265,1500.0
2024,1,4,10,0,4.605538,4.605538,1500.0
2024,1,4,11,0,3.9924288,3.9924288,1500.0
2024,1,4,12,0,5.417325,5.417325,1500.0
2024,1,4,13,0,5.7021465,5.7021465,1500.0
2024,1,4,14,0,4.4770713,4.4770713,1500.0
2024,1,4,15,0,3.7530105,3.7530105,1500.0
2024,1,4,16,0,3.9701865,3.9701865,1500.0
2024,1,4,17,0,3.2421794,3.2421794,1500.0
2024,1,4,18,0,2.6022449,2.6022449,1500.0
2024,1,4,19,0,2.2408614,2.2408614,1500.0
2024,1,4,20,0,1.9366124,1.9366124,1500.0
2024,1,4,21,0,1.7471302,1.7471302,1500.0
2024,1,4,22,0,2.094269,2.094269,1500.0
2024,1,4,23,0,2.881513,2.881513,1500.0
2024,1,5,0,0,3.190353,3.190353,1500.0
2024,1,5,1,0,3.1226938,3.1226938,1500.0
2024,1,5,2,0,3.1952474,3.1952474,1500.0
2024,1,5,3,0,3.291608,3.291608,1500.0
2024,1,5,4,0,3.319971,3.319971,1500.0
2024,1,5,5,0,3.001923,3.001923,1500.0
2024,1,5,6,0,3.5956495,3.5956495,1500.0
2024,1,5,7,0,3.6801298,3.6801298,1500.0
2024,1,5,8,0,3.0347128,3.0347128,1500.0
2024,1,5,9,0,3.3231077,3.3231077,1500.0
2024,1,5,10,0,3.382148,3.382148,1500.0
2024,1,5,11,0,2.4687061,2.4687061,1500.0
2024,1,5,12,0,2.785926,2.785926,1500.0
2024,1,5,13,0,3.5650973,3.5650973,1500.0
2024,1,5,14,0,3.6086643,3.6086643,1500.0
2024,1,5,15,0,3.5372274,3.5372274,1500.0
2024,1,5,16,0,3.6872003,3.6872003,1500.0
2024,1,5,17,0,3.6984844,3.6984844,1500.0
2024,1,5,18,0,3.312117,3.312117,1500.0
2024,1,5,19,0,4.3603654,4.3603654,1500.0
2024,1,5,20,0,4.044281,4.044281,1500.0
2024,1,5,21,0,3.88665,3.88665,1500.0
2024,1,5,22,0,4.292946,4.292946,1500.0
2024,1,5,23,0,7.451695,7.451695,1500.0
2024,1,6,0,0,7.0663505,7.0663505,1500.0
2024,1,6,1,0,6.2620463,6.2620463,1500.0
2024,1,6,2,0,7.259068,7.259068,1500.0
2024,1,6,3,0,6.3463264,6.3463264,1500.0
2024,1,6,4,0,4.11451,4.11451,1500.0
2024,1,6,5,0,3.5548549,3.5548549,1500.0
2024,1,6,6,0,2.434712,2.434712,1500.0
2024,1,6,7,0,2.9757805,2.9757805,1500.0
2024,1,6,8,0,4.094204,4.094204,1500.0
2024,1,6,9,0,6.025497,6.025497,1500.0
2024,1,6,10,0,5.511696,5.511696,1500.0
2024,1,6,11,0,5.789179,5.789179,1500.0
2024,1,6,12,0,6.539553,6.539553,1500.0
2024,1,6,13,0,5.1044426,5.1044426,1500.0
2024,1,6,14,0,4.810229,4.810229,1500.0
2024,1,6,15,0,3.715347,3.715347,1500.0
2024,1,6,16,0,2.4665954,2.4665954,1500.0
2024,1,6,17,0,0.9629117,0.9629117,402.0047773879827
2024,1,6,18,0,0.6535569,0.6535569,125.69616731438211
2024,1,6,19,0,1.5445757,1.5445757,1500.0
2024,1,6,20,0,1.9366124,1.9366124,1500.0
2024,1,6,21,0,1.8765054,1.8765054,1500.0
2024,1,6,22,0,1.7321588,1.7321588,1500.0
2024,1,6,23,0,1.6987573,1.6987573,1500.0
2024,1,7,0,0,1.7351635,1.7351635,1500.0
2024,1,7,1,0,2.0667284,2.0667284,1500.0
2024,1,7,2,0,2.9387913,2.9387913,1500.0
2024,1,7,3,0,4.1560783,4.1560783,1500.0
